S4TAX_PART_001	Integrar Parceiro de Negócio	Integrar Parceiro de Negócio
S4TAX_PART_002	Monitor de parceiros	Monitor de parceiros
S4TAX_PART_003	Configurações de parceiro	Configurações de parceiro
